average_entropy,average_policy_loss,average_value,average_value_loss,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.1744306,-0.03355276546441019,1.5217471,0.14523711286485194,106.84,3.24,105.06,3.28,0.5604058589097288,710,2928,122.0,31232,124928
2.1966918,-0.03285048871301115,1.4119277,0.167409176081419,110.31,3.4,104.46,3.03,0.2762801680991541,701,2952,123.0,31488,125952
2.067141,-0.030010408721864223,1.5223242,0.18790479443967342,108.62,3.39,103.04,3.04,0.13019167364006878,669,2976,124.0,31744,126976
2.2539542,-0.032297239061445,1.4011496,0.18538901314139367,107.78,3.34,105.22,3.2,0.335255228599841,669,3000,125.0,32000,128000
2.1378007,-0.028170722667127848,1.6530586,0.19076063953340053,108.48,3.55,106.71,3.31,0.4712069976077987,706,3024,126.0,32256,129024
2.1530068,-0.031267598681151865,1.5722167,0.16248367454856635,107.08,3.4,109.64,3.65,0.5513300819077176,716,3048,127.0,32512,130048
2.1887934,-0.03477255021221936,1.6610857,0.1536937078461051,108.41,3.48,110.22,3.67,0.23417212846165336,709,3072,128.0,32768,131072
2.2755904,-0.031154317883774638,1.375959,0.15037215318530797,108.71,3.49,109.9,3.51,0.6063468556453615,717,3096,129.0,33024,132096
2.197331,-0.030944282943382858,1.689074,0.16809279154986143,108.79,3.47,110.82,3.7,0.34916447594724065,719,3120,130.0,33280,133120
2.080893,-0.0334806068520993,1.844762,0.18965351831167937,108.23,3.45,107.27,3.5,0.5318694007485179,721,3144,131.0,33536,134144
2.0866377,-0.027373927710577846,1.4092559,0.18907490685582162,108.47,3.67,110.01,3.68,0.1820378091493905,688,3168,132.0,33792,135168
1.9998987,-0.030849771006032825,1.600795,0.19352856248617173,106.72,3.64,109.92,3.73,0.37076131288379466,663,3192,133.0,34048,136192
2.1070461,-0.029979420052841307,1.7542682,0.17519033946096896,106.06,3.7,111.34,3.81,0.5438392978573224,712,3216,134.0,34304,137216
2.0467002,-0.03132105807773769,1.6026787,0.18090946547687053,108.41,3.88,113.8,3.82,0.5645611186486044,722,3240,135.0,34560,138240
2.034522,-0.03255135243758559,1.6171651,0.16917655415832997,108.33,4.01,112.58,3.82,0.5176465175438725,717,3264,136.0,34816,139264
2.1851535,-0.03642314471304417,1.25683,0.17690144218504428,111.24,4.22,110.36,3.43,0.28017020141300286,717,3288,137.0,35072,140288
2.0429885,-0.03657034423202276,1.8783041,0.2049654034525156,110.96,4.29,108.65,3.19,0.4888683181468566,710,3312,138.0,35328,141312
1.9338396,-0.03828737931326032,2.1750393,0.19830369770526887,109.16,4.09,108.56,3.35,0.4140500260901606,719,3336,139.0,35584,142336
1.9909458,-0.03627843201160431,1.9587258,0.20414083659648896,107.87,4.1,109.83,3.48,0.5497700737883571,718,3360,140.0,35840,143360
2.0816782,-0.03975958853960037,1.4208784,0.19455675095319747,108.95,4.08,110.95,3.43,0.4447769677629445,671,3384,141.0,36096,144384
2.108664,-0.04362105971202254,1.7882305,0.16845155961811542,107.35,3.96,107.75,3.23,0.4442102604952888,657,3408,142.0,36352,145408
2.128426,-0.03931465703062713,1.7288893,0.16513586856424808,106.59,3.93,108.67,3.38,0.4543724631942322,716,3432,143.0,36608,146432
2.1356077,-0.04136646454222501,1.80028,0.16640552453696728,107.12,3.74,111.64,3.6,0.5370914878075461,720,3456,144.0,36864,147456
2.1418495,-0.03763262318447232,1.6900197,0.17347039103507997,104.31,3.52,107.74,3.42,0.1930472549493858,715,3480,145.0,37120,148480
2.1471682,-0.0329884584248066,1.5878879,0.17032787166535854,104.83,3.57,106.01,3.44,0.5172914131386732,718,3504,146.0,37376,149504
2.111649,-0.029878979874774815,1.6395037,0.17237595438957215,102.02,3.36,107.3,3.49,0.48396356964914533,710,3528,147.0,37632,150528
2.143585,-0.0332052708696574,1.6273881,0.15074210464954377,103.43,3.36,106.91,3.45,0.6002401727509854,718,3552,148.0,37888,151552
2.1100588,-0.03183873238041997,1.73699,0.1460936563462019,102.66,3.39,107.66,3.51,0.611447093972738,704,3576,149.0,38144,152576
